proyek-pertama-item-db-1  | 2023-06-06T06:30:30.208+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=1c41f40807af
proyek-pertama-item-db-1  | 2023-06-06T06:30:30.208+0000 I CONTROL  [initandlisten] db version v3.6.23
proyek-pertama-item-db-1  | 2023-06-06T06:30:30.208+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
proyek-pertama-item-db-1  | 2023-06-06T06:30:30.208+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
proyek-pertama-item-db-1  | 2023-06-06T06:30:30.208+0000 I CONTROL  [initandlisten] allocator: tcmalloc
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.208+0000 I CONTROL  [initandlisten] modules: none
proyek-pertama-item-app-1  | NODE_ENV: production
proyek-pertama-item-app-1  | Connected to database
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.208+0000 I CONTROL  [initandlisten] build environment:
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.208+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.208+0000 I CONTROL  [initandlisten]     distarch: x86_64
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.208+0000 I CONTROL  [initandlisten]     target_arch: x86_64
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.208+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.209+0000 I STORAGE  [initandlisten] 
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.209+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.209+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.209+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=7338M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.322+0000 I STORAGE  [initandlisten] WiredTiger message [1686033030:322256][1:0x7ffb87b61a40], txn-recover: Set global recovery timestamp: 0
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.365+0000 I CONTROL  [initandlisten] 
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.365+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.365+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.365+0000 I CONTROL  [initandlisten] 
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.365+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: df2c9e42-b40b-444f-9d51-8a64962ec775
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.381+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.381+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 34a4cef5-0f79-4946-b504-9f7b0babde15
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.397+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.397+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.397+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.397+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.397+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: 801b928e-b558-4eee-b675-c16bb31f465e
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.424+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.424+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.426+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.589+0000 I NETWORK  [listener] connection accepted from 172.23.0.3:49374 #1 (1 connection now open)
proyek-pertama-item-db-1   | 2023-06-06T06:30:30.593+0000 I NETWORK  [conn1] received client metadata from 172.23.0.3:49374 conn1: { driver: { name: "nodejs", version: "2.2.36" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "5.19.0-42-generic" }, platform: "Node.js v14.21.3, LE, mongodb-core: 2.1.20" }
